fighter,rank,url,weightclass,Ano,Mês,Dia
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,julho,16
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,julho,23
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,julho,30
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,agosto,6
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,agosto,13
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,agosto,20
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,agosto,27
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,setembro,10
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,setembro,17
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,outubro,1
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,outubro,8
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,outubro,15
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,outubro,22
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,outubro,29
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,novembro,5
Alex Pereira,2,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,novembro,12
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,novembro,19
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,novembro,26
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,dezembro,10
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,dezembro,17
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,janeiro,14
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,janeiro,21
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,fevereiro,4
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,fevereiro,11
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,fevereiro,18
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,fevereiro,25
Alex Pereira,3,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2025,março,4
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,fevereiro,20
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,fevereiro,27
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,março,5
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,março,12
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,março,19
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,março,26
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,abril,2
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,abril,9
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,abril,16
Alex Pereira,4,https:/www.ufc.com.br/athlete/alex-pereira,Men's Pound-for-Pound,2024,abril,30
