Nome do Lutador,País,Peso (kg),Altura (m),Ano,Mês,Dia,Idade,Região
Abus Magomedov,Russia,84.1,1.88,2022,setembro,3,34,Países Caucasianos
Adrian Yanez,Estados Unidos,61.7,1.7,2020,outubro,31,31,Estados Unidos
Aiemann Zahabi,Canadá,64.4,1.73,2017,fevereiro,20,37,Outros
Ailin Perez,Argentina,61.2,1.65,2022,setembro,3,30,Outros
Aisling Daly,Irlanda,52.6,1.57,2014,dezembro,12,35,Outros
Al Iaquinta,Estados Unidos,70.7,1.78,2012,junho,2,36,Estados Unidos
Alan Belcher,Estados Unidos,83.9,1.88,2006,agosto,26,39,Estados Unidos
Albert Tumenov,Russia,76.7,1.8,2014,fevereiro,15,31,Países Caucasianos
Alejandro Perez,México,65.5,1.68,2014,novembro,15,33,Outros
Aleksandar Rakic,Áustria,93.4,1.93,2017,setembro,2,33,Outros
Aleksei Oleinik,Russia,115.2,1.88,2014,junho,28,46,Países Caucasianos
Alex Caceres,Estados Unidos,72,1.78,2011,março,27,35,Estados Unidos
Alex Oliveira,Brasil,77.1,1.8,2015,março,21,35,Brasil
Alex Pereira,Brasil,93,1.93,2021,novembro,6,38,Brasil
Alex Perez,Estados Unidos,57.2,1.68,2017,agosto,8,33,Estados Unidos
Alexa Grasso,México,57.2,1.65,2016,novembro,6,32,Outros
Alexander Gustafsson,Suécia,93,1.96,2009,novembro,14,38,Outros
Alexander Hernandez,Estados Unidos,70.8,1.75,2018,março,3,32,Estados Unidos
Alexander Volkanovski,Austrália,65.8,1.68,2016,outubro,15,36,Outros
Alexander Volkov,Russia,115.4,2.01,2016,novembro,19,36,Países Caucasianos
Alexandr Romanov,Moldávia,118.4,1.88,2020,abril,25,34,Outros
Alexandre Pantoja,Brasil,56.7,1.65,2017,janeiro,29,35,Brasil
Alexis Davis,Canadá,61.2,1.68,2012,março,4,38,Outros
Ali Bagautinov,Russia,57.2,1.65,2013,setembro,4,38,Países Caucasianos
Alistair Overeem,Inglaterra,115.9,1.93,2011,dezembro,30,43,Outros
Aljamain Sterling,Estados Unidos,69.4,1.7,2014,fevereiro,22,36,Estados Unidos
Alonzo Menifield,Estados Unidos,93.4,1.83,2019,janeiro,19,37,Estados Unidos
Amanda Lemos,Brasil,52.6,1.63,2017,julho,16,38,Brasil
Amanda Nunes,Brasil,61.2,1.73,2013,agosto,4,35,Brasil
Amanda Ribas,Brasil,52.6,1.63,2019,junho,29,32,Brasil
Amir Albazi,Iraque,56.9,1.65,2020,julho,18,31,Outros
Anderson Silva,Brasil,83.5,1.88,2006,junho,28,48,Brasil
Andre Fili,Estados Unidos,66.2,1.8,2013,outubro,20,35,Estados Unidos
Andre Muniz,Brasil,83.9,1.85,2019,novembro,16,35,Brasil
Andrea Lee,Estados Unidos,57.2,1.68,2018,maio,19,36,Estados Unidos
